State,Total all  classes,"Violent
crime","Property
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug abuse violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations"
NEVADA,"140,967","8,012","10,245",191,408,"1,411","6,002","3,103","6,314",749,79,"17,883",428,"1,813",282,"1,850","1,635","2,240","2,859",903,"11,238",23,961,"10,984","3,720",362,"2,213","3,182","59,772",2,360
NEW HAMPSHIRE,"46,413",872,"3,681",10,76,144,642,309,"3,186",165,21,"5,668",237,758,91,553,"1,254",146,24,130,"6,522",5,187,"5,053","1,989","3,844",884,99,"14,386",0,30
NEW JERSEY,"226,427","7,146","20,307",115,274,"1,699","5,058","2,982","16,659",540,126,"16,839",852,"3,558",214,"1,826","2,474","2,766",522,895,"48,008",41,"7,297","17,230","1,356",24,"9,922",197,"84,648",2,303
NEW MEXICO,"74,786","4,232","7,309",67,103,425,"3,637",916,"5,993",359,41,"8,588",171,324,123,"1,015","1,015",535,87,70,"5,375",3,"1,388","6,464","1,333",568,"1,497",30,"34,655",3,1
NEW YORK,"244,041","11,433","40,466",244,933,"2,630","7,626","4,291","34,122","1,786",267,"26,623","2,019","3,749",27,"2,752","12,509","3,156",561,"1,705","69,571",45,470,"25,094",943,0,"4,273",580,"38,065",0,0
NORTH CAROLINA,"200,411","9,180","26,731",351,165,"2,177","6,487","5,451","20,037","1,115",128,"22,676",863,"4,412",799,"2,682","3,006","4,052",148,608,"26,936",39,"3,181","27,915","1,490",0,"4,183",15,"61,490",0,5
NORTH DAKOTA,"33,210",724,"3,100",10,47,63,604,254,"2,622",215,9,"2,846",140,369,34,278,438,340,11,81,"5,448",1,356,"5,136","2,623",263,"1,583",4,"9,329",0,106
OHIO,"218,433","8,085","29,413",237,470,"1,548","5,830","3,354","25,004",777,278,"30,939",770,"2,089",14,"2,701","3,142","3,948",792,451,"39,708",23,"1,275","13,723","4,793","5,855","9,835",20,"60,471",4,382
OKLAHOMA,"101,053","4,859","14,717",138,216,642,"3,863","2,388","11,304",856,169,"7,785",539,"1,332",362,"2,932","1,224","2,418",7,376,"17,766",28,630,"8,660","1,198","10,698","2,195",13,"22,658",4,652
OREGON,"125,230","4,232","18,015",55,217,824,"3,136","1,725","14,123","1,911",256,"10,735",616,"1,871",54,611,"3,677","2,113",281,348,"13,605",1,342,"13,707","2,891",29,"6,210",3,"45,582",0,307
PENNSYLVANIA,"345,822","19,536","44,478",444,"1,132","3,915","14,045","5,185","36,453","2,508",332,"40,984","2,222","8,126",446,"2,119","6,267","4,921","1,182","2,286","61,934",34,"1,806","43,798","6,716","19,808","31,264",234,"42,847",0,"4,814"
RHODE ISLAND,"25,996",954,"2,660",4,77,194,679,498,"1,992",158,12,"4,169",125,551,75,352,915,347,63,82,"2,049",4,74,"2,423",337,11,"2,269",0,"8,518",0,18
SOUTH CAROLINA,"152,664","6,970","22,900",287,532,"1,209","4,942","3,116","18,578","1,070",136,"15,413","1,115","3,333",348,"2,366","2,473","2,594",285,284,"34,105",70,"1,167","15,188","4,092","5,722","8,101",588,"25,517",0,33
SOUTH DAKOTA,"44,268","1,046","2,866",11,43,72,920,294,"2,348",201,23,"4,451",124,816,31,152,536,250,15,51,"8,108",1,490,"5,891","2,164",99,"2,409",616,"14,077",0,75
TENNESSEE,"330,989","14,353","38,557",380,435,"1,797","11,741","4,458","30,141","3,822",136,"30,862","1,690","5,043",716,"1,611","4,177","2,869",527,545,"47,876",71,"4,361","19,108","3,245","13,627","5,968",10,"134,936",0,837
TEXAS,"729,902","34,166","74,627",747,"2,068","5,708","25,643","9,009","60,263","4,952",403,"92,541","4,332","6,320",447,862,"7,246","12,968","3,987","2,442","139,188",304,"3,931","69,643","8,237","54,286","7,549",497,"204,684",0,"1,645"
UTAH,"104,886","2,327","14,038",36,306,398,"1,587",890,"12,545",541,62,"7,972",704,"1,007",35,940,"2,868",839,374,686,"19,562",1,"1,428","7,119","3,826","2,677","2,280",63,"35,815",4,321
VERMONT,"14,334",684,"1,637",11,86,38,549,220,"1,343",54,20,"1,519",52,306,56,98,321,36,1,38,902,0,201,"2,576",82,0,853,0,"4,972",0,0
VIRGINIA,"268,094","7,090","26,694",356,558,"1,431","4,745","2,309","23,014","1,180",191,"30,541","1,572","4,868","1,272","1,085","3,490","4,062",373,597,"45,409",12,"1,536","20,885","4,131","19,398","2,844",46,"91,669",0,520
WASHINGTON,"171,466","8,384","25,722",150,536,"1,767","5,931","4,292","19,762","1,504",164,"24,701",677,"1,130",55,"3,245","4,798","1,824",211,550,"11,283",7,257,"27,632","1,721",78,"2,460",120,"56,599",3,9
WEST VIRGINIA,"29,202","1,173","3,757",28,55,56,"1,034",440,"3,112",181,24,"2,825",214,265,41,263,468,281,60,63,"6,044",2,86,"3,141",555,727,689,8,"8,531",0,9
WISCONSIN,"245,015","7,907","25,731",171,925,"1,172","5,639","2,080","22,087","1,431",133,"16,251",899,"2,220",368,"1,125","5,531","3,683",451,"1,587","31,066",19,"2,116","24,368","10,654",0,"31,008",530,"78,077",0,"1,424"
WYOMING,"28,437",600,"2,197",12,26,21,541,239,"1,811",128,19,"1,902",36,127,6,80,421,52,53,109,"4,895",0,433,"3,432","1,725","3,062",840,166,"8,198",17,86
